accession,predicted_CT,actual_CT,predicted_CG,actual_CG,predicted_TG,actual_TG,predicted_CA,actual_CA,predicted_TT,actual_TT,predicted_TA,actual_TA,predicted_GG,actual_GG,predicted_AG,actual_AG,predicted_CC,actual_CC,predicted_GT,actual_GT,predicted_GA,actual_GA,predicted_AT,actual_AT,predicted_TC,actual_TC,predicted_AA,actual_AA,predicted_GC,actual_GC,predicted_AC,actual_AC
CP001130,0.057,0.071,0.03,0.02,0.058,0.06,0.056,0.058,0.108,0.093,0.106,0.109,0.031,0.035,0.057,0.071,0.03,0.034,0.058,0.052,0.057,0.055,0.106,0.101,0.057,0.055,0.104,0.09,0.03,0.043,0.056,0.051
CP001999,0.051,0.062,0.02,0.006,0.051,0.062,0.051,0.062,0.128,0.111,0.128,0.117,0.02,0.022,0.051,0.063,0.02,0.022,0.051,0.047,0.051,0.057,0.128,0.126,0.051,0.056,0.129,0.112,0.02,0.028,0.051,0.047
CP002198,0.06,0.065,0.04,0.039,0.06,0.061,0.06,0.061,0.089,0.087,0.089,0.08,0.04,0.042,0.06,0.065,0.041,0.043,0.06,0.051,0.06,0.065,0.089,0.089,0.06,0.064,0.09,0.087,0.04,0.049,0.06,0.051
CP003273,0.062,0.057,0.052,0.048,0.062,0.069,0.062,0.07,0.075,0.072,0.074,0.073,0.052,0.057,0.062,0.057,0.052,0.058,0.062,0.055,0.062,0.053,0.074,0.085,0.062,0.054,0.074,0.072,0.052,0.066,0.062,0.054
CP003789,0.057,0.062,0.031,0.026,0.057,0.066,0.057,0.067,0.105,0.093,0.104,0.09,0.031,0.031,0.057,0.062,0.031,0.031,0.057,0.049,0.057,0.064,0.104,0.111,0.057,0.065,0.104,0.093,0.031,0.042,0.057,0.048
CP002874,0.05,0.061,0.019,0.01,0.049,0.054,0.05,0.054,0.133,0.106,0.132,0.14,0.018,0.021,0.049,0.061,0.019,0.021,0.049,0.039,0.049,0.054,0.132,0.148,0.05,0.054,0.132,0.105,0.019,0.032,0.05,0.039
CP000849,0.054,0.062,0.025,0.022,0.054,0.057,0.054,0.056,0.116,0.1,0.117,0.122,0.025,0.026,0.054,0.064,0.025,0.026,0.054,0.046,0.054,0.054,0.117,0.123,0.054,0.052,0.117,0.101,0.025,0.043,0.054,0.046
CP001472,0.06,0.06,0.091,0.104,0.059,0.071,0.06,0.072,0.039,0.037,0.039,0.02,0.091,0.066,0.06,0.06,0.092,0.067,0.059,0.048,0.06,0.067,0.039,0.051,0.06,0.068,0.039,0.038,0.091,0.121,0.06,0.049
CP002049,0.054,0.06,0.116,0.15,0.054,0.05,0.054,0.05,0.025,0.026,0.025,0.021,0.116,0.079,0.054,0.06,0.116,0.078,0.054,0.054,0.054,0.064,0.025,0.02,0.054,0.064,0.025,0.026,0.116,0.142,0.054,0.055
CP002360,0.062,0.059,0.047,0.051,0.062,0.066,0.061,0.066,0.081,0.065,0.08,0.091,0.047,0.047,0.061,0.058,0.047,0.047,0.062,0.049,0.061,0.056,0.08,0.106,0.062,0.058,0.079,0.064,0.047,0.07,0.061,0.048
CP006773,0.059,0.055,0.097,0.106,0.058,0.072,0.059,0.072,0.035,0.036,0.035,0.017,0.097,0.079,0.059,0.055,0.097,0.079,0.058,0.047,0.059,0.062,0.035,0.05,0.059,0.062,0.036,0.037,0.097,0.125,0.059,0.047
CP002858,0.059,0.061,0.037,0.032,0.059,0.069,0.059,0.067,0.095,0.088,0.095,0.079,0.037,0.04,0.06,0.061,0.036,0.039,0.059,0.051,0.06,0.065,0.095,0.1,0.059,0.063,0.095,0.088,0.037,0.046,0.059,0.051
CP001798,0.061,0.062,0.066,0.061,0.066,0.072,0.059,0.064,0.061,0.061,0.059,0.05,0.072,0.07,0.064,0.066,0.061,0.062,0.066,0.052,0.064,0.067,0.059,0.069,0.061,0.062,0.057,0.057,0.066,0.079,0.059,0.046
CP001632,0.06,0.068,0.039,0.039,0.06,0.061,0.06,0.061,0.091,0.082,0.091,0.093,0.039,0.037,0.06,0.068,0.039,0.037,0.06,0.06,0.06,0.058,0.091,0.085,0.06,0.058,0.091,0.083,0.039,0.051,0.06,0.059
AP014633,0.061,0.055,0.042,0.047,0.061,0.067,0.06,0.067,0.087,0.084,0.086,0.078,0.042,0.043,0.06,0.055,0.043,0.043,0.061,0.058,0.06,0.059,0.086,0.092,0.061,0.06,0.086,0.083,0.042,0.052,0.06,0.057
CP000473,0.059,0.054,0.096,0.122,0.059,0.061,0.059,0.061,0.036,0.037,0.036,0.022,0.095,0.072,0.059,0.053,0.096,0.073,0.059,0.052,0.059,0.07,0.036,0.048,0.059,0.07,0.036,0.037,0.096,0.115,0.059,0.052
CP004349,0.053,0.062,0.023,0.012,0.053,0.064,0.053,0.064,0.12,0.109,0.12,0.109,0.024,0.026,0.054,0.064,0.023,0.025,0.053,0.052,0.054,0.054,0.12,0.111,0.053,0.053,0.121,0.109,0.023,0.034,0.053,0.052
CP001848,0.061,0.061,0.083,0.105,0.061,0.067,0.061,0.068,0.045,0.044,0.045,0.022,0.082,0.056,0.061,0.061,0.083,0.056,0.061,0.055,0.061,0.076,0.045,0.051,0.061,0.077,0.045,0.044,0.083,0.102,0.061,0.055
AP009152,0.051,0.051,0.127,0.141,0.051,0.062,0.051,0.063,0.021,0.016,0.021,0.009,0.127,0.094,0.051,0.052,0.126,0.094,0.051,0.062,0.051,0.063,0.021,0.022,0.051,0.064,0.021,0.016,0.127,0.129,0.051,0.061
CP003926,0.062,0.059,0.079,0.086,0.061,0.073,0.062,0.074,0.048,0.045,0.048,0.026,0.078,0.063,0.061,0.059,0.08,0.064,0.061,0.054,0.061,0.073,0.048,0.06,0.062,0.073,0.048,0.045,0.079,0.091,0.062,0.054
CP001736,0.052,0.051,0.124,0.153,0.052,0.055,0.052,0.055,0.022,0.017,0.022,0.01,0.124,0.088,0.052,0.051,0.125,0.09,0.052,0.061,0.052,0.069,0.022,0.021,0.052,0.069,0.022,0.018,0.124,0.129,0.052,0.062
CP000961,0.062,0.071,0.048,0.039,0.061,0.073,0.062,0.073,0.08,0.068,0.079,0.073,0.047,0.041,0.061,0.07,0.048,0.041,0.061,0.057,0.061,0.063,0.079,0.081,0.062,0.064,0.079,0.068,0.048,0.063,0.062,0.056
CP001673,0.061,0.055,0.046,0.061,0.061,0.066,0.061,0.065,0.082,0.082,0.082,0.061,0.046,0.043,0.061,0.055,0.046,0.043,0.061,0.054,0.061,0.068,0.082,0.085,0.061,0.067,0.082,0.082,0.046,0.06,0.061,0.054
FP565814,0.056,0.055,0.109,0.131,0.056,0.055,0.056,0.055,0.029,0.027,0.029,0.016,0.109,0.084,0.056,0.055,0.109,0.085,0.056,0.06,0.056,0.075,0.029,0.031,0.056,0.074,0.029,0.027,0.109,0.107,0.056,0.061
CP007031,0.054,0.056,0.115,0.142,0.054,0.06,0.055,0.06,0.026,0.02,0.026,0.013,0.115,0.077,0.055,0.056,0.115,0.078,0.054,0.052,0.055,0.072,0.026,0.037,0.054,0.072,0.026,0.02,0.115,0.134,0.055,0.052
CP002663,0.061,0.056,0.081,0.087,0.061,0.078,0.061,0.078,0.046,0.046,0.046,0.033,0.081,0.065,0.061,0.056,0.081,0.064,0.061,0.054,0.061,0.057,0.046,0.059,0.061,0.057,0.046,0.045,0.081,0.111,0.061,0.054
CP003422,0.061,0.062,0.085,0.096,0.061,0.062,0.061,0.062,0.044,0.042,0.044,0.032,0.084,0.069,0.06,0.063,0.085,0.07,0.061,0.05,0.06,0.074,0.044,0.057,0.061,0.075,0.043,0.041,0.085,0.097,0.061,0.049
CP002162,0.05,0.047,0.133,0.163,0.05,0.054,0.049,0.053,0.019,0.014,0.018,0.01,0.133,0.096,0.049,0.046,0.132,0.095,0.05,0.061,0.049,0.063,0.018,0.019,0.05,0.063,0.018,0.014,0.133,0.14,0.049,0.061
CP002027,0.047,0.056,0.014,0.005,0.045,0.056,0.046,0.056,0.147,0.131,0.144,0.131,0.014,0.015,0.045,0.055,0.015,0.016,0.045,0.045,0.045,0.05,0.144,0.139,0.047,0.053,0.141,0.127,0.014,0.021,0.046,0.045
AP012224,0.057,0.055,0.104,0.12,0.057,0.069,0.057,0.069,0.032,0.032,0.032,0.018,0.104,0.077,0.057,0.055,0.103,0.077,0.057,0.054,0.057,0.061,0.032,0.039,0.057,0.061,0.032,0.031,0.104,0.13,0.057,0.053
CP001037,0.061,0.066,0.043,0.037,0.061,0.07,0.061,0.071,0.086,0.08,0.086,0.075,0.043,0.039,0.061,0.066,0.043,0.04,0.061,0.056,0.061,0.061,0.086,0.084,0.061,0.061,0.086,0.08,0.043,0.057,0.061,0.056
CP001349,0.054,0.055,0.119,0.146,0.054,0.054,0.054,0.054,0.024,0.022,0.024,0.012,0.118,0.085,0.053,0.055,0.119,0.085,0.054,0.046,0.053,0.072,0.024,0.037,0.054,0.072,0.024,0.022,0.119,0.137,0.054,0.046
AP012273,0.061,0.059,0.079,0.068,0.062,0.081,0.061,0.08,0.048,0.044,0.048,0.029,0.08,0.073,0.062,0.059,0.079,0.072,0.062,0.052,0.062,0.066,0.048,0.064,0.061,0.065,0.048,0.045,0.079,0.09,0.061,0.052
CP009450,0.06,0.059,0.087,0.106,0.06,0.066,0.06,0.066,0.042,0.04,0.042,0.036,0.087,0.067,0.06,0.059,0.087,0.067,0.06,0.05,0.06,0.061,0.042,0.054,0.06,0.06,0.042,0.04,0.087,0.12,0.06,0.05
AP012320,0.051,0.053,0.127,0.163,0.051,0.058,0.051,0.058,0.021,0.019,0.021,0.008,0.127,0.08,0.051,0.053,0.127,0.079,0.051,0.05,0.051,0.06,0.021,0.024,0.051,0.06,0.021,0.019,0.127,0.164,0.051,0.05
CP003732,0.062,0.067,0.073,0.068,0.062,0.064,0.062,0.065,0.053,0.054,0.053,0.04,0.072,0.071,0.062,0.067,0.073,0.072,0.062,0.05,0.062,0.07,0.053,0.059,0.062,0.071,0.053,0.054,0.073,0.079,0.062,0.049
BA000039,0.062,0.064,0.073,0.059,0.062,0.078,0.062,0.079,0.053,0.054,0.053,0.037,0.073,0.067,0.062,0.064,0.073,0.067,0.062,0.053,0.062,0.061,0.053,0.06,0.062,0.061,0.053,0.054,0.073,0.088,0.062,0.053
CP001099,0.061,0.059,0.078,0.098,0.062,0.067,0.062,0.066,0.049,0.049,0.049,0.026,0.078,0.059,0.062,0.059,0.078,0.059,0.062,0.053,0.062,0.076,0.049,0.057,0.061,0.076,0.049,0.049,0.078,0.095,0.062,0.053
CP003620,0.06,0.067,0.04,0.035,0.06,0.068,0.061,0.069,0.089,0.084,0.09,0.083,0.04,0.037,0.06,0.066,0.041,0.038,0.06,0.056,0.06,0.058,0.09,0.087,0.06,0.058,0.09,0.084,0.04,0.056,0.061,0.056
CP001867,0.048,0.05,0.137,0.163,0.048,0.052,0.048,0.052,0.017,0.011,0.017,0.007,0.137,0.099,0.048,0.05,0.136,0.098,0.048,0.059,0.048,0.065,0.017,0.016,0.048,0.065,0.017,0.011,0.137,0.141,0.048,0.059
CP006265,0.061,0.061,0.045,0.048,0.061,0.074,0.061,0.074,0.083,0.07,0.083,0.081,0.045,0.036,0.061,0.061,0.045,0.036,0.061,0.056,0.061,0.056,0.083,0.094,0.061,0.056,0.083,0.07,0.045,0.071,0.061,0.056
CP007161,0.058,0.061,0.035,0.029,0.059,0.068,0.058,0.067,0.096,0.087,0.097,0.086,0.036,0.039,0.06,0.063,0.035,0.037,0.059,0.052,0.06,0.064,0.097,0.103,0.058,0.061,0.098,0.088,0.035,0.044,0.058,0.052
CP001631,0.054,0.055,0.117,0.153,0.054,0.053,0.054,0.054,0.025,0.018,0.025,0.01,0.117,0.075,0.054,0.056,0.117,0.074,0.054,0.06,0.054,0.081,0.025,0.03,0.054,0.082,0.025,0.018,0.117,0.121,0.054,0.06
FP929056,0.047,0.063,0.08,0.109,0.048,0.06,0.047,0.058,0.028,0.035,0.028,0.019,0.081,0.082,0.047,0.062,0.08,0.081,0.048,0.053,0.047,0.076,0.028,0.039,0.047,0.075,0.027,0.033,0.08,0.103,0.047,0.052
CP002158,0.062,0.057,0.058,0.075,0.062,0.067,0.063,0.069,0.067,0.07,0.067,0.044,0.057,0.046,0.062,0.057,0.058,0.047,0.062,0.055,0.062,0.07,0.067,0.07,0.062,0.07,0.068,0.072,0.058,0.074,0.063,0.056
CP002271,0.055,0.062,0.114,0.115,0.055,0.065,0.055,0.065,0.026,0.026,0.026,0.011,0.114,0.089,0.055,0.062,0.113,0.089,0.055,0.051,0.055,0.068,0.026,0.03,0.055,0.067,0.027,0.026,0.114,0.124,0.055,0.051
CP007566,0.059,0.063,0.092,0.086,0.059,0.077,0.06,0.077,0.038,0.034,0.038,0.023,0.093,0.076,0.06,0.064,0.092,0.075,0.059,0.05,0.06,0.064,0.038,0.05,0.059,0.063,0.039,0.035,0.092,0.112,0.06,0.05
CP003876,0.054,0.046,0.116,0.152,0.054,0.058,0.054,0.058,0.026,0.023,0.026,0.013,0.116,0.081,0.054,0.046,0.116,0.081,0.054,0.06,0.054,0.069,0.026,0.035,0.054,0.069,0.026,0.023,0.116,0.128,0.054,0.06
CP009217,0.053,0.064,0.024,0.015,0.053,0.057,0.054,0.058,0.12,0.097,0.12,0.132,0.023,0.026,0.053,0.063,0.024,0.026,0.053,0.046,0.053,0.051,0.12,0.131,0.053,0.051,0.12,0.097,0.024,0.038,0.054,0.047
HE956757,0.058,0.052,0.1,0.151,0.058,0.052,0.058,0.052,0.034,0.037,0.034,0.016,0.101,0.064,0.058,0.051,0.1,0.063,0.058,0.043,0.058,0.077,0.034,0.05,0.058,0.077,0.034,0.036,0.1,0.135,0.058,0.044
CP000061,0.049,0.051,0.018,0.015,0.05,0.059,0.048,0.057,0.135,0.134,0.134,0.11,0.018,0.025,0.049,0.051,0.018,0.024,0.05,0.047,0.049,0.05,0.134,0.121,0.049,0.051,0.132,0.132,0.018,0.027,0.048,0.046
CP003837,0.06,0.06,0.041,0.039,0.06,0.073,0.06,0.074,0.089,0.081,0.089,0.082,0.041,0.037,0.06,0.06,0.041,0.037,0.06,0.059,0.06,0.055,0.089,0.091,0.06,0.055,0.088,0.08,0.041,0.057,0.06,0.06
CP002725,0.061,0.064,0.042,0.047,0.061,0.071,0.061,0.072,0.086,0.082,0.086,0.073,0.043,0.032,0.061,0.064,0.042,0.032,0.061,0.054,0.061,0.059,0.086,0.086,0.061,0.06,0.086,0.082,0.042,0.069,0.061,0.054
AP012551,0.061,0.057,0.081,0.097,0.061,0.076,0.061,0.076,0.046,0.043,0.046,0.034,0.081,0.059,0.061,0.057,0.081,0.059,0.061,0.054,0.061,0.058,0.046,0.057,0.061,0.058,0.046,0.043,0.081,0.117,0.061,0.054
AP012044,0.063,0.058,0.071,0.078,0.062,0.069,0.062,0.07,0.055,0.054,0.054,0.04,0.07,0.064,0.062,0.058,0.072,0.065,0.062,0.053,0.062,0.066,0.054,0.066,0.063,0.068,0.054,0.053,0.071,0.086,0.062,0.053
CP004393,0.056,0.052,0.109,0.141,0.056,0.055,0.056,0.055,0.029,0.027,0.029,0.012,0.109,0.079,0.056,0.052,0.109,0.079,0.056,0.046,0.056,0.077,0.029,0.046,0.056,0.077,0.029,0.027,0.109,0.125,0.056,0.047
CP000153,0.056,0.072,0.03,0.018,0.056,0.067,0.057,0.066,0.106,0.09,0.107,0.096,0.03,0.025,0.057,0.074,0.029,0.025,0.056,0.05,0.057,0.064,0.107,0.103,0.056,0.062,0.109,0.092,0.03,0.045,0.057,0.049
CP000850,0.053,0.048,0.121,0.143,0.053,0.059,0.053,0.059,0.023,0.019,0.023,0.013,0.122,0.093,0.053,0.048,0.12,0.091,0.053,0.066,0.053,0.066,0.023,0.025,0.053,0.066,0.023,0.019,0.121,0.119,0.053,0.065
CP001312,0.056,0.05,0.111,0.139,0.055,0.06,0.056,0.061,0.028,0.03,0.028,0.01,0.11,0.082,0.056,0.05,0.111,0.082,0.055,0.042,0.056,0.068,0.028,0.047,0.056,0.069,0.028,0.03,0.111,0.139,0.056,0.042
CP001607,0.061,0.047,0.045,0.059,0.061,0.07,0.061,0.07,0.083,0.085,0.083,0.068,0.045,0.044,0.061,0.048,0.044,0.044,0.061,0.057,0.061,0.056,0.083,0.089,0.061,0.055,0.084,0.086,0.045,0.064,0.061,0.058
CP002355,0.062,0.053,0.051,0.073,0.062,0.062,0.062,0.062,0.075,0.071,0.076,0.059,0.051,0.045,0.062,0.053,0.05,0.044,0.062,0.053,0.062,0.076,0.076,0.091,0.062,0.076,0.076,0.071,0.051,0.058,0.062,0.053
CP003051,0.056,0.056,0.108,0.135,0.056,0.056,0.056,0.057,0.029,0.027,0.03,0.017,0.108,0.077,0.056,0.056,0.108,0.078,0.056,0.05,0.056,0.074,0.03,0.041,0.056,0.074,0.03,0.027,0.108,0.123,0.056,0.051
CP000387,0.061,0.074,0.047,0.035,0.061,0.072,0.061,0.072,0.08,0.073,0.08,0.06,0.047,0.044,0.061,0.074,0.047,0.043,0.061,0.049,0.061,0.071,0.08,0.08,0.061,0.071,0.08,0.073,0.047,0.061,0.061,0.049
CP000554,0.063,0.071,0.063,0.049,0.063,0.081,0.062,0.08,0.064,0.061,0.062,0.039,0.063,0.053,0.062,0.07,0.062,0.052,0.063,0.052,0.062,0.068,0.062,0.067,0.063,0.069,0.061,0.058,0.063,0.08,0.062,0.051
CP000411,0.058,0.052,0.036,0.046,0.059,0.065,0.059,0.065,0.096,0.097,0.096,0.07,0.036,0.039,0.059,0.052,0.036,0.038,0.059,0.048,0.059,0.067,0.096,0.101,0.058,0.067,0.097,0.098,0.036,0.048,0.059,0.048
CP001650,0.057,0.059,0.033,0.033,0.058,0.06,0.057,0.06,0.102,0.095,0.102,0.093,0.033,0.038,0.058,0.06,0.032,0.038,0.058,0.049,0.058,0.062,0.102,0.106,0.057,0.061,0.102,0.095,0.033,0.043,0.057,0.049
CP003801,0.055,0.062,0.026,0.018,0.054,0.062,0.055,0.063,0.114,0.104,0.115,0.096,0.026,0.029,0.055,0.062,0.026,0.03,0.054,0.044,0.055,0.065,0.115,0.117,0.055,0.065,0.116,0.105,0.026,0.033,0.055,0.045
CP002343,0.052,0.054,0.125,0.153,0.052,0.052,0.052,0.052,0.022,0.015,0.021,0.008,0.125,0.089,0.052,0.054,0.124,0.089,0.052,0.061,0.052,0.077,0.021,0.023,0.052,0.077,0.021,0.015,0.125,0.121,0.052,0.06
CP003944,0.061,0.061,0.045,0.048,0.061,0.064,0.061,0.065,0.082,0.084,0.083,0.062,0.045,0.044,0.061,0.061,0.045,0.044,0.061,0.055,0.061,0.072,0.083,0.082,0.061,0.071,0.083,0.085,0.045,0.047,0.061,0.056
CP002085,0.057,0.053,0.108,0.117,0.056,0.068,0.056,0.068,0.03,0.033,0.029,0.014,0.108,0.09,0.056,0.052,0.108,0.091,0.056,0.047,0.056,0.057,0.029,0.04,0.057,0.058,0.029,0.033,0.108,0.133,0.056,0.047
CP000542,0.057,0.052,0.107,0.122,0.056,0.075,0.057,0.076,0.03,0.03,0.03,0.013,0.106,0.076,0.057,0.052,0.107,0.077,0.056,0.049,0.057,0.056,0.03,0.043,0.057,0.056,0.03,0.03,0.107,0.143,0.057,0.05
CP010954,0.057,0.05,0.105,0.13,0.057,0.062,0.057,0.063,0.031,0.031,0.031,0.016,0.105,0.078,0.057,0.051,0.105,0.079,0.057,0.043,0.057,0.069,0.031,0.054,0.057,0.069,0.031,0.031,0.105,0.131,0.057,0.043
AP012547,0.058,0.052,0.1,0.125,0.057,0.066,0.059,0.067,0.033,0.035,0.034,0.015,0.099,0.072,0.058,0.052,0.101,0.073,0.057,0.048,0.058,0.067,0.034,0.047,0.058,0.067,0.034,0.035,0.1,0.128,0.059,0.05
CP003155,0.062,0.064,0.053,0.042,0.062,0.073,0.062,0.073,0.072,0.068,0.072,0.053,0.054,0.055,0.062,0.065,0.053,0.054,0.062,0.053,0.062,0.071,0.072,0.08,0.062,0.07,0.073,0.069,0.053,0.056,0.062,0.053
AP012052,0.052,0.05,0.123,0.17,0.052,0.048,0.052,0.048,0.022,0.017,0.022,0.009,0.123,0.079,0.052,0.049,0.124,0.08,0.052,0.059,0.052,0.08,0.022,0.028,0.052,0.081,0.022,0.017,0.123,0.127,0.052,0.06
CP007053,0.058,0.05,0.101,0.132,0.058,0.059,0.058,0.059,0.033,0.036,0.033,0.016,0.101,0.079,0.058,0.049,0.101,0.078,0.058,0.053,0.058,0.071,0.033,0.043,0.058,0.071,0.033,0.036,0.101,0.116,0.058,0.053
FP236843,0.062,0.056,0.076,0.086,0.061,0.075,0.062,0.076,0.05,0.048,0.05,0.036,0.076,0.061,0.062,0.057,0.076,0.061,0.061,0.054,0.062,0.061,0.05,0.061,0.062,0.061,0.051,0.049,0.076,0.103,0.062,0.055
CP002528,0.059,0.07,0.035,0.029,0.058,0.065,0.059,0.065,0.099,0.082,0.098,0.098,0.034,0.031,0.058,0.069,0.035,0.031,0.058,0.057,0.058,0.06,0.098,0.096,0.059,0.061,0.098,0.082,0.035,0.047,0.059,0.057
AP012029,0.062,0.059,0.072,0.071,0.062,0.075,0.062,0.076,0.053,0.055,0.053,0.033,0.072,0.065,0.062,0.059,0.073,0.066,0.062,0.053,0.062,0.065,0.053,0.061,0.062,0.066,0.054,0.056,0.072,0.086,0.062,0.054
CP003591,0.061,0.068,0.085,0.086,0.061,0.07,0.06,0.07,0.043,0.042,0.043,0.026,0.086,0.069,0.061,0.069,0.085,0.069,0.061,0.048,0.061,0.069,0.043,0.049,0.061,0.069,0.043,0.042,0.085,0.107,0.06,0.047
CP007028,0.06,0.078,0.051,0.027,0.061,0.065,0.062,0.066,0.072,0.071,0.075,0.066,0.052,0.059,0.064,0.082,0.05,0.058,0.061,0.053,0.064,0.067,0.075,0.062,0.06,0.062,0.078,0.075,0.051,0.054,0.062,0.054
CP000352,0.058,0.052,0.102,0.126,0.058,0.07,0.057,0.069,0.033,0.032,0.033,0.017,0.102,0.071,0.057,0.051,0.102,0.071,0.058,0.055,0.057,0.064,0.033,0.045,0.058,0.065,0.032,0.031,0.102,0.128,0.057,0.054
CP001810,0.06,0.072,0.04,0.026,0.06,0.072,0.06,0.073,0.089,0.073,0.089,0.077,0.04,0.037,0.06,0.072,0.041,0.037,0.06,0.049,0.06,0.07,0.089,0.099,0.06,0.071,0.09,0.074,0.04,0.05,0.06,0.049
CP010978,0.06,0.062,0.039,0.033,0.06,0.07,0.06,0.07,0.092,0.081,0.091,0.084,0.039,0.04,0.06,0.061,0.039,0.04,0.06,0.051,0.06,0.06,0.091,0.102,0.06,0.061,0.091,0.081,0.039,0.054,0.06,0.051
CP002046,0.057,0.067,0.029,0.02,0.056,0.065,0.056,0.065,0.11,0.096,0.109,0.107,0.028,0.028,0.055,0.065,0.029,0.029,0.056,0.058,0.055,0.052,0.109,0.101,0.057,0.054,0.108,0.095,0.029,0.041,0.056,0.057
CP001685,0.054,0.057,0.022,0.016,0.052,0.062,0.052,0.063,0.126,0.117,0.124,0.1,0.021,0.026,0.051,0.054,0.023,0.027,0.052,0.043,0.051,0.059,0.124,0.125,0.054,0.063,0.121,0.114,0.022,0.03,0.052,0.043
AE014184,0.062,0.063,0.054,0.049,0.061,0.074,0.063,0.077,0.07,0.064,0.072,0.062,0.053,0.047,0.063,0.063,0.054,0.048,0.061,0.058,0.063,0.062,0.072,0.077,0.062,0.062,0.074,0.067,0.054,0.065,0.063,0.061
CP009962,0.061,0.053,0.079,0.097,0.062,0.074,0.062,0.074,0.048,0.048,0.048,0.032,0.079,0.061,0.062,0.053,0.079,0.06,0.062,0.052,0.062,0.061,0.048,0.062,0.061,0.061,0.048,0.048,0.079,0.111,0.062,0.052
CP006681,0.047,0.049,0.017,0.007,0.049,0.067,0.048,0.066,0.132,0.123,0.136,0.109,0.018,0.019,0.05,0.052,0.017,0.018,0.049,0.044,0.05,0.058,0.136,0.136,0.047,0.054,0.139,0.127,0.017,0.025,0.048,0.044
CP002292,0.059,0.053,0.097,0.138,0.059,0.057,0.059,0.057,0.036,0.039,0.036,0.018,0.097,0.064,0.059,0.053,0.097,0.064,0.059,0.048,0.059,0.074,0.036,0.048,0.059,0.074,0.035,0.038,0.097,0.126,0.059,0.048
CP011144,0.052,0.051,0.123,0.148,0.052,0.062,0.052,0.062,0.022,0.021,0.022,0.011,0.124,0.087,0.052,0.052,0.123,0.087,0.052,0.052,0.052,0.058,0.022,0.028,0.052,0.058,0.022,0.02,0.123,0.151,0.052,0.051
CP003600,0.062,0.06,0.052,0.065,0.062,0.064,0.062,0.064,0.074,0.067,0.074,0.064,0.052,0.043,0.062,0.06,0.052,0.044,0.062,0.053,0.062,0.071,0.074,0.087,0.062,0.071,0.074,0.067,0.052,0.065,0.062,0.053
CP005384,0.06,0.057,0.04,0.044,0.06,0.071,0.06,0.072,0.09,0.087,0.09,0.075,0.04,0.037,0.06,0.056,0.041,0.038,0.06,0.057,0.06,0.057,0.09,0.091,0.06,0.058,0.09,0.087,0.04,0.057,0.06,0.057
CP001778,0.054,0.048,0.116,0.143,0.054,0.059,0.055,0.06,0.025,0.023,0.025,0.012,0.115,0.086,0.054,0.047,0.117,0.087,0.054,0.064,0.054,0.069,0.025,0.028,0.054,0.069,0.026,0.023,0.116,0.116,0.055,0.065
CP003315,0.046,0.044,0.016,0.02,0.047,0.055,0.047,0.055,0.137,0.121,0.14,0.133,0.016,0.02,0.048,0.047,0.015,0.018,0.047,0.041,0.048,0.053,0.14,0.153,0.046,0.05,0.143,0.124,0.016,0.027,0.047,0.041
CP001851,0.061,0.052,0.082,0.103,0.061,0.069,0.061,0.069,0.046,0.049,0.046,0.025,0.081,0.064,0.061,0.052,0.082,0.065,0.061,0.045,0.061,0.068,0.046,0.065,0.061,0.068,0.046,0.049,0.082,0.112,0.061,0.045
CP003495,0.053,0.062,0.118,0.108,0.053,0.069,0.054,0.07,0.024,0.021,0.024,0.01,0.118,0.098,0.054,0.062,0.118,0.099,0.053,0.045,0.054,0.063,0.024,0.033,0.053,0.062,0.025,0.022,0.118,0.131,0.054,0.046
AP012204,0.055,0.054,0.113,0.134,0.055,0.062,0.055,0.062,0.027,0.02,0.027,0.012,0.113,0.082,0.055,0.055,0.113,0.082,0.055,0.06,0.055,0.075,0.027,0.034,0.055,0.075,0.027,0.02,0.113,0.116,0.055,0.059
CP002512,0.06,0.066,0.044,0.035,0.06,0.064,0.061,0.065,0.083,0.08,0.084,0.075,0.044,0.048,0.062,0.068,0.044,0.048,0.06,0.05,0.062,0.066,0.084,0.087,0.06,0.064,0.086,0.082,0.044,0.051,0.061,0.051
CP003587,0.06,0.066,0.092,0.1,0.06,0.066,0.06,0.066,0.039,0.038,0.039,0.025,0.091,0.07,0.06,0.066,0.092,0.071,0.06,0.052,0.06,0.068,0.039,0.042,0.06,0.068,0.039,0.038,0.092,0.112,0.06,0.052
AP009389,0.062,0.06,0.07,0.07,0.062,0.064,0.062,0.065,0.055,0.061,0.055,0.047,0.071,0.075,0.063,0.061,0.07,0.073,0.062,0.05,0.063,0.058,0.055,0.059,0.062,0.057,0.056,0.062,0.07,0.088,0.062,0.05
HE717023,0.061,0.065,0.044,0.043,0.061,0.064,0.061,0.064,0.084,0.078,0.085,0.071,0.044,0.044,0.061,0.065,0.043,0.043,0.061,0.052,0.061,0.071,0.085,0.09,0.061,0.072,0.085,0.078,0.044,0.048,0.061,0.052
CP007481,0.061,0.071,0.043,0.037,0.061,0.069,0.061,0.068,0.086,0.071,0.085,0.073,0.043,0.038,0.06,0.071,0.044,0.039,0.061,0.054,0.06,0.074,0.085,0.091,0.061,0.075,0.084,0.069,0.043,0.048,0.061,0.053
